"bedouin_agriculture_prop","kkl_plantings_prop","loess_prop","sci_name","heb_name"
20,80,0,"Pycnonotus xanthopygos","בולבול ממושקף"
15,40,45,"Falco tinnunculus","בז מצוי"
0,72.7272727272727,27.2727272727273,"Upupa epops","דוכיפת"
80.4819277108434,15.9036144578313,3.6144578313253,"Passer domesticus","דרור הבית"
58.0645161290323,19.3548387096774,22.5806451612903,"Alectoris chukar","חוגלת סלעים"
0,56.8181818181818,43.1818181818182,"Lanius excubitor","חנקן גדול"
85.1973684210526,4.60526315789474,10.1973684210526,"Columba livia","יונת סלעים"
28.5714285714286,47.6190476190476,23.8095238095238,"Chloris chloris","ירקון"
51.8518518518518,29.6296296296296,18.5185185185185,"Burhinus oedicnemus","כרוון מצוי"
66.6666666666667,14.2857142857143,19.047619047619,"Acridotheres tristis","מיינה מצויה"
100,0,0,"Vanellus spinosus","סיקסק"
11.7647058823529,58.8235294117647,29.4117647058824,"Cecropis daurica","סנונית מערות"
22.2222222222222,53.3333333333333,24.4444444444444,"Corvus cornix","עורב אפור"
32.9032258064516,27.0967741935484,40,"Galerida cristata","עפרוני מצויץ"
38.5964912280702,26.3157894736842,35.0877192982456,"Prinia gracilis","פשוש"
14.2857142857143,85.7142857142857,0,"Cinnyris osea","צופית בוהקת"
96.1538461538462,3.84615384615385,0,"Spilopelia senegalensis","צוצלת"
0,0,100,"Pterocles alchata","קטה חדת-זנב"
0,100,0,"Iduna pallida","שיחנית קטנה"
38.4615384615385,46.1538461538462,15.3846153846154,"Streptopelia turtur","תור מצוי"
35.7798165137615,55.5045871559633,8.71559633027523,"Streptopelia decaocto","תור צווארון"
